Total_Population,MarginError_Total,"Est_Total_Under_$25,000","MoE_Tot_Under_$25,000","tot_under_$25,000_w_coverage",B27015 003M,tot_under$25k_w_privateHI,B27015 004M,tot_under$25k_publicHI,B27015 005M,tot_under$25k_no_coverage,B27015 006M,estTot_$25000_to_$49999,B27015 007M,tot_$25k_to_$49999_w_coverage,B27015 008M,tot_$25k_to_$49999_privateHI,B27015 009M,tot_$25k_to_$49999_publicHI,B27015 010M,tot_$25k_to_$49999_no_coverage,B27015 011M,estTot_$50000_to_$74999,B27015 012M,tot_$50k_$74999_w_coverage,B27015 013M,tot_$50k_$74999_privateHI,B27015 014M,tot_$50k_$74999_publicHI,B27015 015M,tot_$50k_$74999_no_coverage,B27015 016M,estTot_$75000_to_$99999,B27015 017M,tot_$75k_to_$99999_w_coverage,B27015 018M,tot_$75k_$99999_privateHI,B27015 019M,tot_$75k_$99999_publicHI,B27015 020M,tot_$75k_$99999_no_coverage,B27015 021M,estTot_$100k+,B27015 022M,tot_$100k+_w_coverage,B27015 023M,tot_$100k+_privateHI,B27015 024M,tot_$100k+_publicHI,B27015 025M,tot_$100k+_no_coverage,B27015 026M,ALL_no_coverage,Percent_Without_Coverage,%no_coverage_100k+,Geo Id,Geometry,Name,Number of Records
19027799,884,2862047,20816,2625135,17660,811495,7435,2213921,16888,236912,6106,3258724,22757,2951183,20668,1569767,12486,1905048,17880,307541,6110,2907174,20775,2666403,18845,1928523,13092,1148559,14072,240771,6717,2404580,21960,2246561,20791,1838140,17904,700589,9868,158019,4514,7595274,37531,7301787,38128,6587035,37709,1381656,11434,293487,6841,1236730,0.064995957,0.038640739,0400000US36,MULTIPOLYGON,New York,1
2878161,594,394664,7345,324636,6245,117862,3396,248498,5802,70028,2514,623647,8140,519346,6693,314307,5457,279247,4770,104301,3652,568962,8688,496411,7359,385796,6151,173134,4109,72551,3323,440900,9530,401232,8461,341193,7273,104681,3263,39668,2554,849988,10171,793268,9634,720558,8995,152477,3887,56720,3121,343268,0.119266434,0.066730354,0400000US32,MULTIPOLYGON,Nevada,1
699347,726,65344,2037,51280,1986,16630,1139,41120,1775,14064,764,102035,3026,82984,2697,43868,2009,50768,1975,19051,1169,120203,4165,98852,3683,69698,2827,43854,2551,21351,1504,103570,4097,88090,3574,74670,3275,25999,1367,15480,1421,308195,4727,278184,4807,253245,4457,56928,2196,30011,1834,99957,0.142929047,0.097376661,0400000US02,MULTIPOLYGON,Alaska,1
9724436,348,1562125,10217,1418131,9229,517723,5653,1150361,8068,143994,3575,2067580,15515,1884140,13531,1209992,9721,1121349,9304,183440,4188,1828148,12756,1705970,11726,1384284,9892,659197,7104,122178,3755,1368560,10762,1309108,10544,1169875,10435,330780,5181,59452,2532,2898023,18067,2819317,18372,2664901,18103,419777,5240,78706,2898,587770,0.06044258,0.027158515,0400000US26,MULTIPOLYGON,Michigan,1
2902750,408,588489,9019,515041,7786,169350,3688,419736,7476,73448,2920,745328,9497,658448,8314,375605,5565,397174,6498,86880,3052,566578,9426,513774,8616,383585,6908,211298,4774,52804,2413,371132,7897,348386,7455,297578,6724,98143,3440,22746,1675,631223,8882,604430,8693,553466,8169,115097,3176,26793,2326,262671,0.090490397,0.042446172,0400000US05,MULTIPOLYGON,Arkansas,1
2885355,753,683050,9715,551873,7788,180017,3956,438422,6784,131177,3614,702718,8994,590777,7333,360023,5284,326504,5715,111941,3480,525341,8138,465440,7072,362553,6359,170519,4116,59901,2857,386810,7378,354381,6962,306293,6235,88251,2580,32429,2144,587436,8856,557972,8599,513301,8354,103961,2835,29464,2075,364912,0.1264704,0.050156953,0400000US28,MULTIPOLYGON,Mississippi,1
5905959,702,937892,9372,776018,7718,330403,4719,574166,6396,161874,3865,1311464,12107,1129083,9911,762484,6717,578072,7268,182381,5146,1142369,12030,1027054,10731,852661,9341,326811,5825,115315,4098,859186,9328,805699,9268,727821,9076,168951,3702,53487,2160,1655048,13283,1593012,12994,1500311,12684,221518,4188,62036,3136,575093,0.097375041,0.037482901,0400000US29,MULTIPOLYGON,Missouri,1
1010318,313,157648,3374,133438,3175,58697,1948,99835,2630,24210,1230,231023,4435,198680,4455,130518,3128,110203,2885,32343,1926,201642,4647,179643,4406,142627,3677,68722,2669,21999,1378,147311,3364,135646,3306,117724,3305,36931,1732,11665,1011,272694,4628,259870,4327,237217,4166,49293,1784,12824,971,103041,0.101988681,0.047027071,0400000US30,MULTIPOLYGON,Montana,1
2815554,726,383279,6242,314969,5016,162183,3312,215585,3849,68310,2730,594614,8250,510730,7223,361412,5186,251655,4356,83884,2982,548236,8134,499388,7355,420611,7262,156765,3223,48848,2410,426416,6024,402476,5608,366720,5276,81472,2339,23940,1726,863009,8021,835107,8187,794523,7943,113276,2914,27902,1834,252884,0.089816782,0.032331065,0400000US20,MULTIPOLYGON,Kansas,1
6446869,463,994067,10092,848378,8267,342658,5084,647451,7039,145689,4573,1414114,12557,1225995,10714,806543,8604,660320,9047,188119,5065,1288180,14348,1166840,12479,962171,11640,382070,6246,121340,3979,982896,11736,919073,11311,825468,10574,193297,4564,63823,2885,1767612,13226,1696081,13374,1596110,13874,226437,4827,71531,3287,590502,0.09159516,0.040467591,0400000US18,MULTIPOLYGON,Indiana,1
828119,341,119015,3126,98652,2803,44904,1775,73372,2362,20363,1057,170932,3615,147878,3188,104133,2531,73597,2358,23054,1195,169124,4135,152461,4004,128541,3561,46406,1900,16663,1245,140184,3936,132323,3723,121730,3472,26502,1226,7861,821,228864,4244,220211,4205,208345,4028,32280,1406,8653,878,76594,0.092491538,0.03780848,0400000US46,MULTIPOLYGON,South Dakota,1
6575078,478,776226,8266,745431,7910,245681,4219,627364,7808,30795,1919,900553,11047,860072,10212,458537,7469,592256,8120,40481,1953,896879,10144,859979,9880,614398,7899,408452,6766,36900,1985,815784,9113,791722,8988,650996,8498,255152,5352,24062,1592,3185636,17043,3133648,17183,2886053,17827,522788,7556,51988,2256,184226,0.028018831,0.016319504,0400000US25,MULTIPOLYGON,Massachusetts,1
8092283,2115,956501,11227,795308,9282,369005,5547,568175,8150,161193,4726,1333546,14362,1124586,11946,779696,8827,565709,7795,208960,6751,1307097,11312,1163048,10054,983325,9505,366820,5836,144049,4193,1110428,10574,1022781,9858,925103,9755,235158,4507,87647,3669,3384711,19642,3240150,20523,3087160,20493,489255,5986,144561,4975,746410,0.092237259,0.042709998,0400000US51,MULTIPOLYGON,Virginia,1
642708,270,104479,3169,99762,3122,29159,1767,81624,2726,4717,738,86728,3362,80855,3082,37425,1828,53484,2635,5873,901,72477,3329,67721,3192,47072,2359,29678,1936,4756,663,65307,2870,62202,2913,49385,2155,19657,1667,3105,672,313717,3923,306580,3734,282262,2980,51261,2361,7137,954,25588,0.039812792,0.022749803,0400000US11,MULTIPOLYGON,District of Columbia,1
3030806,255,402387,6583,367811,6101,168383,3669,279145,4569,34576,1926,607268,7528,561711,7099,377993,5426,315938,4716,45557,1976,599378,6648,568131,6242,462438,6032,203704,3541,31247,1629,501851,7664,484096,7510,433622,6584,109105,2816,17755,1580,919922,8096,898603,8046,847923,8162,127088,2991,21319,1634,150454,0.04964158,0.023174791,0400000US19,MULTIPOLYGON,Iowa,1
6776986,799,1077551,12359,909101,10780,301112,5242,728170,9994,168450,4629,1469296,15657,1244906,13301,686167,8091,769646,10562,224390,6362,1305256,14345,1145450,12316,859311,10775,465572,7629,159806,5349,948794,11901,865939,11494,721082,9975,261416,6159,82855,3299,1976089,15587,1871207,15544,1689006,15308,376243,5839,104882,3468,740383,0.109249599,0.053075545,0400000US04,MULTIPOLYGON,Arizona,1
